ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title
ILMN_1744239,1.34E-02,2.48E-03,-4.2697236,-2.67438,-1.02571886,531990850,FEM1B,fem-1 homolog B
ILMN_1791147,1.34E-02,2.49E-03,4.2695881,-2.67459,2.48722057,117956404,YPEL3,yippee like 3
ILMN_1656386,1.34E-02,2.49E-03,4.2686272,-2.67602,1.41927689,968121918,SEC24D,"SEC24 homolog D, COPII coat complex component"
ILMN_1680624,1.34E-02,2.49E-03,4.2673872,-2.67788,1.4990706,53759126,CREG1,cellular repressor of E1A stimulated genes 1
ILMN_1884728,1.35E-02,2.49E-03,-4.2669609,-2.67851,-0.37814831,21980945,,
ILMN_1700695,1.35E-02,2.50E-03,-4.2660471,-2.67988,-2.84594415,557878644,SLC44A1,solute carrier family 44 member 1
ILMN_1701468,1.35E-02,2.50E-03,4.266019,-2.67992,0.40359688,661903024,HGFAC,HGF activator
ILMN_1682099,1.35E-02,2.50E-03,-4.2659093,-2.68009,-0.62776553,756140805,TNFAIP8L3,TNF alpha induced protein 8 like 3
ILMN_1708580,1.35E-02,2.50E-03,4.2657358,-2.68035,2.21068911,41152089,PDZK1IP1,PDZK1 interacting protein 1
ILMN_1727098,1.35E-02,2.50E-03,4.26573,-2.68036,0.83166253,930697447,PPP1R16B,protein phosphatase 1 regulatory subunit 16B
ILMN_1720727,1.35E-02,2.50E-03,4.2656899,-2.68042,0.39456578,NA,,
ILMN_1753568,1.35E-02,2.50E-03,4.2653928,-2.68086,0.5265253,289666777,LRRC34,leucine rich repeat containing 34
ILMN_1864811,1.35E-02,2.50E-03,-4.2652043,-2.68114,-0.37940791,24726514,,
ILMN_1780952,1.35E-02,2.50E-03,4.2649422,-2.68153,0.45509412,50979289,OR5AP2,olfactory receptor family 5 subfamily AP member 2
ILMN_1847965,1.35E-02,2.50E-03,-4.2647217,-2.68186,-0.76873831,NA,,
ILMN_1760991,1.35E-02,2.50E-03,-4.2646552,-2.68196,-0.39714429,NA,,
ILMN_1873925,1.35E-02,2.50E-03,-4.2643259,-2.68246,-0.46103395,39887801,,
ILMN_1783815,1.35E-02,2.51E-03,4.2634838,-2.68372,0.71840372,295821196,COG7,component of oligomeric golgi complex 7
ILMN_1805827,1.35E-02,2.51E-03,4.2630427,-2.68438,0.60146426,78482607,PPA1,pyrophosphatase (inorganic) 1
ILMN_1874917,1.35E-02,2.51E-03,-4.2627243,-2.68485,-0.44236498,10032263,LOC101928775,uncharacterized LOC101928775
ILMN_1757867,1.35E-02,2.51E-03,4.2619449,-2.68602,0.37974796,NA,,
ILMN_1663723,1.35E-02,2.51E-03,4.261829,-2.68619,0.55329828,970598241,SLC13A4,solute carrier family 13 member 4
ILMN_1847348,1.35E-02,2.51E-03,-4.2616934,-2.68639,-0.44597749,83164325,,
ILMN_2063584,1.35E-02,2.51E-03,4.2615042,-2.68668,0.78353926,209870110,CLIC4,chloride intracellular channel 4
ILMN_2129650,1.35E-02,2.51E-03,4.2614721,-2.68673,0.61849451,339275985,RAB27B,"RAB27B, member RAS oncogene family"
ILMN_2209115,1.35E-02,2.51E-03,4.2610695,-2.68733,0.3871315,974576807,MAK,male germ cell associated kinase
ILMN_1726839,1.35E-02,2.52E-03,-4.2600374,-2.68887,-0.88977522,262231819,DCUN1D5,defective in cullin neddylation 1 domain containing 5
ILMN_1762090,1.36E-02,2.52E-03,4.2584992,-2.69117,0.33264421,256773200,OR1L6,olfactory receptor family 1 subfamily L member 6
ILMN_1672729,1.36E-02,2.52E-03,-4.25822,-2.69159,-0.44797437,NA,,
ILMN_1718968,1.36E-02,2.53E-03,4.2579046,-2.69206,1.3854459,83367074,MT1E,metallothionein 1E
ILMN_1659631,1.36E-02,2.53E-03,-4.2577038,-2.69236,-1.525943,NA,,
ILMN_1755789,1.36E-02,2.53E-03,-4.2573445,-2.6929,-0.33086189,90403580,MEI1,meiotic double-stranded break formation protein 1
ILMN_1744046,1.36E-02,2.53E-03,-4.2571516,-2.69319,-2.0035928,189242610,DIAPH2,diaphanous related formin 2
ILMN_1684850,1.36E-02,2.53E-03,4.2570174,-2.69339,0.3233051,47132584,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
ILMN_2161971,1.36E-02,2.53E-03,4.2567545,-2.69379,0.37136037,336455071,WIPF3,WAS/WASL interacting protein family member 3
ILMN_1684834,1.36E-02,2.53E-03,-4.2562418,-2.69455,-0.55126441,NA,,
ILMN_1686274,1.36E-02,2.53E-03,-4.256089,-2.69478,-0.46413224,NA,,
ILMN_1871413,1.36E-02,2.53E-03,4.2559529,-2.69499,0.40605335,78456978,,
ILMN_2125017,1.36E-02,2.53E-03,4.2559201,-2.69503,0.39421362,256600227,TIGIT,T-cell immunoreceptor with Ig and ITIM domains
ILMN_2073115,1.36E-02,2.53E-03,4.2558087,-2.6952,0.33057187,53828735,OR4K15,olfactory receptor family 4 subfamily K member 15
ILMN_1720180,1.36E-02,2.54E-03,-4.2550334,-2.69636,-0.36276595,NA,,
ILMN_1821216,1.36E-02,2.54E-03,-4.2547167,-2.69684,-0.34204295,6989727,,
ILMN_1907556,1.36E-02,2.54E-03,4.2545789,-2.69704,1.62100162,21756009,CSRNP3,cysteine and serine rich nuclear protein 3
ILMN_1796923,1.36E-02,2.54E-03,-4.2542632,-2.69752,-0.58257802,222136612,LOC81691,exonuclease NEF-sp
ILMN_1754145,1.36E-02,2.54E-03,-4.2529335,-2.69951,-2.16799265,61676201,CAPRIN1,cell cycle associated protein 1
ILMN_1727558,1.37E-02,2.55E-03,-4.2522194,-2.70058,-0.41378873,NA,,
ILMN_1780496,1.37E-02,2.55E-03,4.2520258,-2.70087,0.66301333,NA,,
ILMN_1860191,1.37E-02,2.55E-03,4.2519508,-2.70098,0.35706492,9439469,,
ILMN_1753954,1.37E-02,2.55E-03,4.2518131,-2.70118,0.78225788,325053703,OLFM4,olfactomedin 4
ILMN_1661610,1.37E-02,2.55E-03,-4.2516827,-2.70138,-0.33792655,NA,,
ILMN_1846162,1.37E-02,2.55E-03,-4.2516395,-2.70144,-0.69242919,19762982,,
ILMN_1784847,1.37E-02,2.55E-03,4.2515661,-2.70155,0.79348552,253735740,CREBZF,CREB/ATF bZIP transcription factor
ILMN_1710203,1.37E-02,2.55E-03,4.2514394,-2.70174,0.41515579,NA,,
ILMN_1852551,1.37E-02,2.55E-03,4.2508872,-2.70257,0.33185209,4734862,,
ILMN_1811188,1.37E-02,2.55E-03,-4.2507663,-2.70275,-1.23288256,169790844,BCCIP,BRCA2 and CDKN1A interacting protein
ILMN_1771898,1.37E-02,2.55E-03,4.2507126,-2.70283,0.53178861,456367254,NBPF3,neuroblastoma breakpoint family member 3
ILMN_1797155,1.37E-02,2.55E-03,-4.2505345,-2.7031,-0.53949087,336391106,C17orf75,chromosome 17 open reading frame 75
ILMN_2134056,1.37E-02,2.56E-03,4.2492702,-2.70499,0.4752829,525342676,SOX7,SRY-box 7
ILMN_1789846,1.37E-02,2.56E-03,4.2489501,-2.70547,0.81883099,538916666,ITGB6,integrin subunit beta 6
ILMN_1759374,1.37E-02,2.56E-03,4.2488377,-2.70564,0.32812986,NA,,
ILMN_1829520,1.37E-02,2.56E-03,4.2486435,-2.70593,0.37289371,2908386,,
ILMN_1654319,1.37E-02,2.56E-03,4.2485186,-2.70612,1.59163742,808154258,HAPLN3,hyaluronan and proteoglycan link protein 3
ILMN_1765132,1.37E-02,2.56E-03,4.2484382,-2.70624,1.50115573,568384808,LACTB,lactamase beta
ILMN_1788400,1.37E-02,2.56E-03,4.2483077,-2.70643,0.55788707,225545551,KIAA2022,KIAA2022
ILMN_2184373,1.37E-02,2.56E-03,-4.248135,-2.70669,-2.60870903,324073503,CXCL8,C-X-C motif chemokine ligand 8
ILMN_1722929,1.37E-02,2.56E-03,-4.2478,-2.7072,-0.37131678,NA,,
ILMN_1665302,1.37E-02,2.56E-03,-4.2471718,-2.70814,-0.40457993,444909171,WDR38,WD repeat domain 38
ILMN_1758025,1.37E-02,2.56E-03,4.2470905,-2.70826,0.47148556,NA,,
ILMN_2061043,1.37E-02,2.57E-03,4.246687,-2.70886,1.45582551,365733591,CD48,CD48 molecule
ILMN_1730002,1.37E-02,2.57E-03,4.2463797,-2.70932,0.28832362,574584594,ACSBG2,acyl-CoA synthetase bubblegum family member 2
ILMN_1683017,1.37E-02,2.57E-03,-4.2456953,-2.71035,-0.3115893,NA,,
ILMN_2163873,1.37E-02,2.57E-03,-4.2456306,-2.71045,-2.29141609,148806907,FNDC1,fibronectin type III domain containing 1
ILMN_1868903,1.37E-02,2.57E-03,-4.2450495,-2.71132,-0.34098597,34189374,LINC00824,long intergenic non-protein coding RNA 824
ILMN_1813028,1.37E-02,2.57E-03,-4.2449401,-2.71148,-2.34169306,188035906,CBX5,chromobox 5
ILMN_1752665,1.38E-02,2.57E-03,4.2443499,-2.71236,1.32616738,87298934,ELMO3,engulfment and cell motility 3
ILMN_1899431,1.38E-02,2.57E-03,4.2443128,-2.71242,0.55685924,21045600,,
ILMN_2225254,1.38E-02,2.57E-03,-4.2441586,-2.71265,-0.48422147,145046251,ZNF740,zinc finger protein 740
ILMN_1681845,1.38E-02,2.58E-03,4.243979,-2.71292,0.61343124,167555094,PAPD4,"poly(A) RNA polymerase D4, non-canonical"
ILMN_2232953,1.38E-02,2.58E-03,4.2437292,-2.71329,0.3883536,31343499,PRPS1L1,phosphoribosyl pyrophosphate synthetase 1-like 1
ILMN_1858668,1.38E-02,2.58E-03,-4.2437026,-2.71333,-0.5136811,16550276,,
ILMN_2175114,1.38E-02,2.58E-03,4.2428153,-2.71466,1.4601395,539846769,KCNS3,potassium voltage-gated channel modifier subfamily S member 3
ILMN_1882881,1.38E-02,2.58E-03,-4.2427579,-2.71475,-0.54870471,83104448,,
ILMN_1733538,1.38E-02,2.58E-03,4.2423069,-2.71543,0.86526896,52694754,RGS10,regulator of G-protein signaling 10
ILMN_2086417,1.38E-02,2.58E-03,4.2422601,-2.7155,0.62378368,260436852,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2
ILMN_2075603,1.38E-02,2.58E-03,4.2413964,-2.71679,1.27643474,148664219,MRGPRF,MAS related GPR family member F
ILMN_2161820,1.38E-02,2.59E-03,4.2410077,-2.71737,2.76915071,150010618,GLYATL2,glycine-N-acyltransferase like 2
ILMN_1774945,1.38E-02,2.59E-03,4.2409442,-2.71747,0.5229132,223890254,NRG3,neuregulin 3
ILMN_1889472,1.38E-02,2.59E-03,-4.2408227,-2.71765,-0.39322304,44841289,,
ILMN_1773073,1.38E-02,2.59E-03,4.2403859,-2.71831,0.95156136,83281446,PHYH,phytanoyl-CoA 2-hydroxylase
ILMN_1670272,1.38E-02,2.59E-03,4.240256,-2.7185,1.48520121,1042779807,LRP10,LDL receptor related protein 10
ILMN_1699599,1.38E-02,2.59E-03,4.2395617,-2.71954,0.42362195,67089143,FCRL3,Fc receptor like 3
ILMN_1908859,1.38E-02,2.60E-03,4.2384134,-2.72126,0.36014694,3133762,LOC105376271,uncharacterized LOC105376271
ILMN_1799708,1.38E-02,2.60E-03,4.2380238,-2.72185,0.45891927,815891059,GYPA,glycophorin A (MNS blood group)
ILMN_1788961,1.39E-02,2.60E-03,4.2376592,-2.72239,0.8648257,294832007,PPP2R2A,protein phosphatase 2 regulatory subunit Balpha
ILMN_1689621,1.39E-02,2.60E-03,4.237205,-2.72308,0.38235295,94421470,RNF17,ring finger protein 17
ILMN_1845657,1.39E-02,2.60E-03,-4.2371327,-2.72318,-0.42398269,7153542,,
ILMN_2138765,1.39E-02,2.60E-03,-4.2370803,-2.72326,-1.24144885,327199305,PLIN2,perilipin 2
ILMN_1778143,1.39E-02,2.60E-03,4.2360542,-2.7248,0.42806091,625180312,GRAP2,GRB2-related adaptor protein 2
ILMN_1679520,1.39E-02,2.60E-03,-4.2359257,-2.72499,-1.31162702,301336168,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1
ILMN_1840467,1.39E-02,2.60E-03,-4.235915,-2.72501,-0.51875963,4372551,,
ILMN_1795564,1.39E-02,2.61E-03,4.2356917,-2.72534,0.6960741,733215200,C11orf84,chromosome 11 open reading frame 84
ILMN_1802971,1.39E-02,2.61E-03,4.2354877,-2.72565,0.72725897,89337269,FAM160B2,family with sequence similarity 160 member B2
ILMN_1711845,1.39E-02,2.61E-03,-4.2349441,-2.72647,-0.50543792,195539381,LOC220729,succinate dehydrogenase complex flavoprotein subunit A pseudogene
ILMN_1668928,1.39E-02,2.61E-03,4.2348988,-2.72653,0.37862857,NA,,
ILMN_1665686,1.39E-02,2.61E-03,-4.2337315,-2.72828,-1.8169891,590121976,PIEZO2,piezo type mechanosensitive ion channel component 2
ILMN_1841183,1.39E-02,2.62E-03,-4.2324799,-2.73016,-0.38287718,83147361,,
ILMN_1835658,1.40E-02,2.62E-03,-4.2311643,-2.73214,-0.33209674,21753907,PAX7,paired box 7
ILMN_2222651,1.40E-02,2.62E-03,4.2311395,-2.73217,1.25920846,145275203,NAA35,"N(alpha)-acetyltransferase 35, NatC auxiliary subunit"
ILMN_1703197,1.40E-02,2.62E-03,4.2309971,-2.73239,0.29591118,31377669,OR12D3,olfactory receptor family 12 subfamily D member 3
ILMN_1867513,1.40E-02,2.62E-03,-4.2308681,-2.73258,-0.31359145,6698292,,
ILMN_1791505,1.40E-02,2.63E-03,4.2296084,-2.73447,0.28924192,94421470,RNF17,ring finger protein 17
ILMN_2139523,1.40E-02,2.63E-03,4.2295281,-2.73459,0.51358608,52317173,OR1S1,olfactory receptor family 1 subfamily S member 1 (gene/pseudogene)
ILMN_1702824,1.40E-02,2.63E-03,4.2292881,-2.73495,0.36683858,52353271,OR52W1,olfactory receptor family 52 subfamily W member 1
ILMN_1805028,1.40E-02,2.63E-03,4.2291603,-2.73514,0.34195906,557947995,THOC7,THO complex 7
ILMN_1781897,1.40E-02,2.63E-03,4.2287185,-2.73581,0.44181656,75709176,KLRC3,killer cell lectin like receptor C3
ILMN_1685431,1.40E-02,2.63E-03,-4.2279458,-2.73696,-0.72467896,388490357,DZIP1,DAZ interacting zinc finger protein 1
ILMN_1870499,1.40E-02,2.63E-03,4.2278514,-2.73711,0.59689951,44841985,,
ILMN_2122374,1.40E-02,2.64E-03,4.2276576,-2.7374,0.50582117,377520144,FAM49B,family with sequence similarity 49 member B
ILMN_1737320,1.40E-02,2.64E-03,4.227649,-2.73741,0.40373414,226342939,ZDHHC15,zinc finger DHHC-type containing 15
ILMN_1800894,1.40E-02,2.64E-03,-4.22719,-2.7381,-0.35663351,NA,,
ILMN_1766200,1.40E-02,2.64E-03,4.2258467,-2.74012,0.57668425,215820644,CALHM2,calcium homeostasis modulator 2
ILMN_1880994,1.41E-02,2.65E-03,-4.2247641,-2.74174,-0.35651887,19018605,,
ILMN_1776487,1.41E-02,2.65E-03,-4.2245864,-2.74201,-0.84933119,211058419,TADA1,transcriptional adaptor 1
ILMN_1802231,1.41E-02,2.65E-03,-4.2241497,-2.74266,-0.37775764,887244246,ANKS6,ankyrin repeat and sterile alpha motif domain containing 6
ILMN_1685260,1.41E-02,2.65E-03,-4.2235571,-2.74355,-0.79110528,510937019,DNM1L,dynamin 1 like
ILMN_1811890,1.41E-02,2.65E-03,4.2231815,-2.74412,0.54026746,52694753,RGS10,regulator of G-protein signaling 10
ILMN_1729546,1.41E-02,2.65E-03,-4.2230301,-2.74434,-0.62874129,167234404,C19orf54,chromosome 19 open reading frame 54
ILMN_1863592,1.41E-02,2.65E-03,-4.2226792,-2.74487,-0.55167329,47077900,,
ILMN_1873381,1.41E-02,2.65E-03,4.222562,-2.74505,0.26561073,1291751,,
ILMN_2199022,1.41E-02,2.65E-03,4.2224727,-2.74518,0.76596221,686661107,SAP30BP,SAP30 binding protein
ILMN_1670658,1.41E-02,2.65E-03,4.2223204,-2.74541,0.26783492,597709817,CCL15,C-C motif chemokine ligand 15
ILMN_1698258,1.41E-02,2.66E-03,-4.2221258,-2.7457,-0.75979467,112293276,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8
ILMN_1666893,1.41E-02,2.66E-03,-4.2215843,-2.74651,-0.86652408,742068546,TRIML2,tripartite motif family like 2
ILMN_1737107,1.41E-02,2.66E-03,-4.2204479,-2.74822,-0.41269382,256017125,LTBP3,latent transforming growth factor beta binding protein 3
ILMN_1798977,1.41E-02,2.66E-03,4.2203503,-2.74837,0.31546491,229093086,ADGRG3,adhesion G protein-coupled receptor G3
ILMN_1846907,1.41E-02,2.67E-03,-4.2195685,-2.74954,-0.44109414,13726542,,
ILMN_1766551,1.41E-02,2.67E-03,4.2188672,-2.75059,0.59621579,948549895,CPA3,carboxypeptidase A3
ILMN_1760933,1.42E-02,2.67E-03,-4.2175637,-2.75255,-0.63448091,262231832,RER1,retention in endoplasmic reticulum sorting receptor 1
ILMN_1793916,1.42E-02,2.67E-03,-4.2175538,-2.75257,-0.48980963,NA,,
ILMN_2125346,1.42E-02,2.68E-03,-4.2161507,-2.75467,-0.52573967,83367076,MUC16,"mucin 16, cell surface associated"
ILMN_1859374,1.42E-02,2.68E-03,4.2159533,-2.75497,0.41628549,13674487,SLITRK4,SLIT and NTRK like family member 4
ILMN_1677133,1.42E-02,2.68E-03,4.2155115,-2.75564,0.60789102,1000232088,MITD1,microtubule interacting and trafficking domain containing 1
ILMN_1759250,1.42E-02,2.68E-03,-4.2154962,-2.75566,-1.69547125,73747916,TAP2,"transporter 2, ATP binding cassette subfamily B member"
ILMN_1690993,1.42E-02,2.68E-03,4.2151332,-2.7562,1.12527804,384551666,NEUROG2,neurogenin 2
ILMN_1660839,1.42E-02,2.68E-03,-4.2149989,-2.75641,-0.38097098,NA,,
ILMN_2379675,1.42E-02,2.68E-03,4.2149685,-2.75645,0.47588104,341823662,PDE7A,phosphodiesterase 7A
ILMN_1704973,1.42E-02,2.68E-03,4.214504,-2.75715,0.30185064,197927444,SARDH,sarcosine dehydrogenase
ILMN_1696591,1.42E-02,2.68E-03,-4.2143171,-2.75743,-1.0705607,108773786,RB1,RB transcriptional corepressor 1
ILMN_1859701,1.42E-02,2.69E-03,-4.2141207,-2.75772,-0.31366364,8255413,,
ILMN_1742725,1.42E-02,2.69E-03,4.2123258,-2.76042,0.2992727,226437601,NKX1-2,NK1 homeobox 2
ILMN_1655504,1.42E-02,2.69E-03,4.2123038,-2.76045,0.65849968,219555658,IFT81,intraflagellar transport 81
ILMN_1796235,1.43E-02,2.69E-03,-4.2118499,-2.76114,-0.77781066,186928846,UTP4,"UTP4, small subunit processome component"
ILMN_1854361,1.43E-02,2.69E-03,-4.2116927,-2.76137,-0.44130042,5753955,,
ILMN_1892218,1.43E-02,2.70E-03,-4.211152,-2.76219,-0.36236607,NA,,
ILMN_1717519,1.43E-02,2.70E-03,4.2108241,-2.76268,0.51048883,61699223,JPH2,junctophilin 2
ILMN_1696294,1.43E-02,2.70E-03,-4.2101941,-2.76363,-0.8013738,88703042,SNX6,sorting nexin 6
ILMN_1834866,1.43E-02,2.70E-03,-4.2101933,-2.76363,-0.45592206,18995155,,
ILMN_1669502,1.43E-02,2.70E-03,-4.2095293,-2.76462,-0.99152831,340523139,E2F3,E2F transcription factor 3
ILMN_1701621,1.43E-02,2.70E-03,-4.2090458,-2.76535,-1.36448018,153791312,SCO2,SCO2 cytochrome c oxidase assembly protein
ILMN_1661598,1.43E-02,2.70E-03,-4.2089905,-2.76543,-0.39602693,NA,,
ILMN_1764854,1.43E-02,2.71E-03,-4.2084243,-2.76629,-0.46156829,209954794,ZNF761,zinc finger protein 761
ILMN_1867575,1.43E-02,2.71E-03,-4.2080147,-2.7669,-0.49907786,24901315,HHIPL1,HHIP like 1
ILMN_1703123,1.43E-02,2.71E-03,4.2079133,-2.76705,1.27265621,224593753,CSRNP1,cysteine and serine rich nuclear protein 1
ILMN_1731518,1.43E-02,2.71E-03,-4.2078238,-2.76719,-0.35860379,270265811,PLD6,phospholipase D family member 6
ILMN_1912070,1.43E-02,2.71E-03,4.2076094,-2.76751,0.40037778,11590660,,
ILMN_1680341,1.43E-02,2.71E-03,-4.2073243,-2.76794,-0.78366833,303305006,PPIE,peptidylprolyl isomerase E
ILMN_1798855,1.43E-02,2.71E-03,4.2064781,-2.76921,0.35242821,114155157,RASSF9,Ras association domain family member 9
ILMN_1903696,1.43E-02,2.71E-03,-4.206456,-2.76924,-0.41129112,7280169,,
ILMN_1770473,1.43E-02,2.71E-03,-4.2064522,-2.76925,-0.57001686,NA,,
ILMN_1887069,1.43E-02,2.71E-03,-4.2063562,-2.76939,-0.3406661,13730366,,
ILMN_1752283,1.43E-02,2.72E-03,4.2061022,-2.76978,0.81346926,1023300905,ITCH,itchy E3 ubiquitin protein ligase
ILMN_1745788,1.43E-02,2.72E-03,4.2058977,-2.77008,0.52791421,68348719,CX3CR1,C-X3-C motif chemokine receptor 1
ILMN_2300970,1.43E-02,2.72E-03,4.2055356,-2.77063,1.47400329,62420876,ETFB,electron transfer flavoprotein beta subunit
ILMN_1655876,1.43E-02,2.72E-03,4.2054038,-2.77083,1.16671066,685156918,TMEM159,transmembrane protein 159
ILMN_1711949,1.43E-02,2.72E-03,-4.2052847,-2.77101,-0.46695961,150456416,JAKMIP1,janus kinase and microtubule interacting protein 1
ILMN_2189933,1.43E-02,2.72E-03,4.2052004,-2.77113,0.97681782,453040294,RPL36AL,ribosomal protein L36a like
ILMN_1727134,1.44E-02,2.72E-03,4.2044468,-2.77227,0.74997871,55749725,KLHL42,kelch like family member 42
ILMN_1677122,1.44E-02,2.72E-03,4.2038846,-2.77311,0.49195626,1012443716,FAM168B,family with sequence similarity 168 member B
ILMN_1755664,1.44E-02,2.73E-03,-4.2036683,-2.77344,-1.43355584,71559137,RPS26,ribosomal protein S26
ILMN_1783840,1.44E-02,2.73E-03,-4.203401,-2.77384,-0.47613481,NA,,
ILMN_1672417,1.44E-02,2.73E-03,4.2032418,-2.77408,0.60435413,65507613,PTPRCAP,"protein tyrosine phosphatase, receptor type C associated protein"
ILMN_1760889,1.44E-02,2.73E-03,4.2029538,-2.77451,0.33030418,544710911,CARF,calcium responsive transcription factor
ILMN_1706521,1.44E-02,2.73E-03,-4.202928,-2.77455,-1.29966621,153791732,CSNK1G2,casein kinase 1 gamma 2
ILMN_2067101,1.44E-02,2.73E-03,4.2025683,-2.77509,0.55603466,544346226,POLR1B,RNA polymerase I subunit B
ILMN_1725814,1.44E-02,2.73E-03,-4.2018535,-2.77617,-0.42994706,297632402,IL24,interleukin 24
ILMN_1714623,1.44E-02,2.73E-03,4.2017707,-2.77629,1.01128305,56788357,TOMM22,translocase of outer mitochondrial membrane 22
ILMN_1909979,1.44E-02,2.73E-03,-4.2017011,-2.7764,-0.33275547,843492,,
ILMN_1762224,1.44E-02,2.73E-03,-4.2016339,-2.7765,-0.84975599,815891229,HPS3,"HPS3, biogenesis of lysosomal organelles complex 2 subunit 1"
ILMN_1913051,1.44E-02,2.73E-03,-4.2016035,-2.77654,-0.34823491,23654091,,
ILMN_2112915,1.44E-02,2.73E-03,-4.2015666,-2.7766,-1.37919452,296010830,DRD4,dopamine receptor D4
ILMN_1673542,1.44E-02,2.73E-03,4.2013105,-2.77698,0.39124924,56682939,AKAP14,A-kinase anchoring protein 14
ILMN_1676191,1.44E-02,2.74E-03,-4.2007655,-2.7778,-0.75732276,267844906,DARS2,"aspartyl-tRNA synthetase 2, mitochondrial"
ILMN_1764165,1.44E-02,2.74E-03,-4.2001431,-2.77874,-0.80188519,371122523,TRIM65,tripartite motif containing 65
ILMN_1842818,1.44E-02,2.74E-03,-4.199464,-2.77976,-0.46652867,1193153,,
ILMN_1695418,1.44E-02,2.74E-03,4.1993494,-2.77993,2.14488821,145580627,IQGAP3,IQ motif containing GTPase activating protein 3
ILMN_1727205,1.44E-02,2.74E-03,4.1993148,-2.77998,0.49985761,58761491,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like
ILMN_1770742,1.44E-02,2.74E-03,-4.1992808,-2.78004,-0.79340011,574268664,TMEM55B,transmembrane protein 55B
ILMN_1916792,1.44E-02,2.74E-03,-4.1992731,-2.78005,-0.3464661,3840119,,
ILMN_1750173,1.44E-02,2.74E-03,-4.198658,-2.78097,-0.34780585,NA,,
ILMN_1700202,1.44E-02,2.75E-03,4.1985137,-2.78119,1.5274046,281182570,TMEM135,transmembrane protein 135
ILMN_1784099,1.44E-02,2.75E-03,4.1975931,-2.78258,0.68483988,192807294,VPS13A,vacuolar protein sorting 13 homolog A
ILMN_1863859,1.45E-02,2.76E-03,-4.195768,-2.78532,-0.46835438,NA,,
ILMN_1873149,1.45E-02,2.76E-03,4.1957322,-2.78538,0.39937709,51662539,,
ILMN_1759448,1.45E-02,2.76E-03,4.1955731,-2.78561,0.38538393,307548905,CPZ,carboxypeptidase Z
ILMN_1782745,1.45E-02,2.76E-03,-4.1944012,-2.78738,-0.87109028,1020158924,RBL1,RB transcriptional corepressor like 1
ILMN_1660261,1.45E-02,2.76E-03,4.1942161,-2.78766,0.57213743,270132298,TDRD6,tudor domain containing 6
ILMN_1688020,1.45E-02,2.76E-03,-4.1935148,-2.78871,-0.38918957,NA,,
ILMN_1698020,1.45E-02,2.76E-03,-4.1934706,-2.78878,-0.85415924,256017149,DLC1,DLC1 Rho GTPase activating protein
ILMN_1770733,1.45E-02,2.77E-03,-4.1931357,-2.78928,-1.08180085,554790365,RIC8A,RIC8 guanine nucleotide exchange factor A
ILMN_1909898,1.45E-02,2.77E-03,-4.1929528,-2.78956,-0.39784817,7457734,,
ILMN_1658104,1.45E-02,2.77E-03,4.1927111,-2.78992,0.96034766,58761533,KBTBD6,kelch repeat and BTB domain containing 6
ILMN_1720617,1.45E-02,2.77E-03,4.1922559,-2.79061,0.41156794,53793689,OR2T6,olfactory receptor family 2 subfamily T member 6
ILMN_1743910,1.45E-02,2.77E-03,-4.1919985,-2.791,-0.53550612,733216029,PANK4,pantothenate kinase 4
ILMN_1803300,1.45E-02,2.77E-03,4.1918053,-2.79129,0.63083982,46397376,SLC25A47,solute carrier family 25 member 47
ILMN_1785272,1.46E-02,2.77E-03,-4.1911844,-2.79222,-3.12218582,48762933,COL1A2,collagen type I alpha 2 chain
ILMN_1660440,1.46E-02,2.78E-03,-4.1907155,-2.79293,-0.97860015,966209357,ABHD17B,abhydrolase domain containing 17B
ILMN_1703006,1.46E-02,2.78E-03,-4.1903796,-2.79343,-1.3417972,410442519,MTCH1,mitochondrial carrier 1
ILMN_1789950,1.46E-02,2.78E-03,4.1889749,-2.79555,0.29654738,194018525,MIR1-1HG,MIR1-1 host gene
ILMN_1658636,1.46E-02,2.79E-03,-4.1877621,-2.79737,-0.56500011,56550106,MRE11A,"MRE11 homolog A, double strand break repair nuclease"
ILMN_1797519,1.46E-02,2.79E-03,-4.1877492,-2.79739,-0.86293669,953514556,DLK1,delta like non-canonical Notch ligand 1
ILMN_2218002,1.46E-02,2.79E-03,4.1875413,-2.79771,0.37790063,194097334,LIPC,"lipase C, hepatic type"
ILMN_1863114,1.46E-02,2.79E-03,-4.1872239,-2.79818,-0.41292429,5339477,,
ILMN_1725852,1.46E-02,2.79E-03,-4.1868331,-2.79877,-1.23943004,45269153,S100A2,S100 calcium binding protein A2
ILMN_1708959,1.46E-02,2.79E-03,4.1866516,-2.79905,0.32707103,45269136,MFN1,mitofusin 1
ILMN_1894890,1.46E-02,2.79E-03,-4.1858218,-2.8003,-0.48665329,6505429,,
ILMN_1792078,1.46E-02,2.80E-03,4.1855806,-2.80066,0.81898346,40807455,RNF114,ring finger protein 114
ILMN_1667366,1.46E-02,2.80E-03,-4.1854584,-2.80084,-0.44259049,NA,,
